
Date,Open,High,Low,Close,Volume
2016-12-30,50.70,51.10,50.50,51.00,7550
2017-01-03,51.20,51.40,50.70,51.40,5282
2017-01-04,51.40,51.50,51.00,51.10,10418
2017-01-05,51.30,51.50,51.10,51.40,10183
2017-01-06,51.90,51.90,51.20,51.60,7003
2017-01-09,51.40,52.50,51.40,51.70,13763
2017-01-10,51.70,52.00,51.30,52.00,10086
2017-01-11,52.30,52.40,51.70,51.70,9479
2017-01-12,52.10,52.60,51.90,52.20,15453
2017-01-13,52.20,52.30,51.20,51.30,12501
2017-01-16,51.20,51.20,50.30,50.40,11341
2017-01-17,50.40,51.30,50.40,51.30,8649
2017-01-18,51.00,51.20,50.30,50.50,15348
2017-01-19,50.30,50.60,50.10,50.20,9847
2017-01-20,50.00,50.80,50.00,50.50,10701
2017-01-23,50.90,51.20,50.70,50.70,11127
2017-01-24,51.10,51.10,50.60,50.60,9830
2017-02-02,51.20,51.40,49.95,50.10,23735
2017-02-03,50.00,50.20,49.40,49.40,26329
2017-02-06,49.80,51.00,49.70,50.50,23347
2017-02-07,50.50,50.80,50.10,50.70,9380
2017-02-08,50.50,50.90,50.10,50.40,11639
2017-02-09,50.80,50.80,50.30,50.70,11419
2017-02-10,50.20,51.50,50.20,51.00,25132
2017-02-13,51.40,51.40,50.50,50.70,12219
2017-02-14,50.60,51.30,50.60,51.30,15727
2017-02-15,51.10,51.50,50.90,51.20,19833
2017-02-16,51.50,51.80,50.90,51.30,15406
2017-02-17,51.20,51.30,50.60,50.80,12584
2017-02-18,50.90,51.00,50.60,50.60,3423
2017-02-20,50.70,51.10,50.20,50.20,11048
2017-02-21,50.30,51.00,50.20,50.50,14384
2017-02-22,50.80,50.90,50.20,50.20,12077
2017-02-23,50.20,50.20,49.60,49.85,23182
2017-02-24,49.85,49.90,49.65,49.75,12806
2017-03-01,49.75,49.80,49.50,49.60,13532
2017-03-02,50.40,51.00,49.75,49.80,26303
2017-03-03,49.80,50.20,49.60,49.80,13385
2017-03-06,49.80,50.50,49.80,50.50,6783
2017-03-07,50.60,50.60,50.30,50.60,8540
2017-03-08,50.60,51.60,50.40,51.50,20966
2017-03-09,51.70,51.70,51.00,51.10,12686
2017-03-10,51.20,51.90,51.00,51.90,20772
2017-03-13,52.00,52.80,52.00,52.30,18480
2017-03-14,52.50,52.60,52.00,52.10,21701
2017-03-15,52.20,52.20,51.60,52.20,10659
2017-03-16,51.90,52.60,51.50,52.20,16310
2017-03-17,52.20,52.70,52.20,52.70,16348
2017-03-20,52.20,52.60,52.10,52.50,6937
2017-03-21,52.60,52.60,51.80,52.50,15268
2017-03-22,51.60,52.40,51.50,52.40,13364
2017-03-23,52.60,53.40,52.30,53.10,13242
2017-03-24,53.00,53.00,52.60,52.70,6705
2017-03-27,51.80,51.80,51.50,51.80,22942
2017-03-28,51.80,51.80,50.30,51.00,22476
2017-03-29,50.80,50.90,50.10,50.50,19202
2017-03-30,50.50,50.70,49.90,49.95,29807
2017-03-31,49.60,50.00,49.50,49.50,30652
2017-04-05,49.20,49.45,48.60,49.00,48053
2017-04-06,48.95,49.35,48.70,48.80,29542
2017-04-07,48.75,48.75,48.10,48.15,36991
2017-04-10,48.30,48.50,48.15,48.35,13918
2017-04-11,48.35,48.60,48.00,48.00,21652
2017-04-12,48.00,48.15,47.70,47.80,20930
2017-04-13,47.90,48.20,47.85,47.90,14054
2017-04-14,47.80,47.80,47.20,47.30,17208
2017-04-17,47.45,47.60,46.90,47.25,18640
2017-04-18,47.30,47.45,46.05,46.50,37237
2017-04-19,46.40,47.40,46.35,46.50,33958
2017-04-20,46.80,47.20,46.50,47.05,23056
2017-04-21,47.30,47.40,46.90,46.95,18820
2017-04-24,47.40,47.40,46.90,47.00,8384
2017-04-25,47.50,47.95,47.10,47.75,21530
2017-04-26,47.95,48.05,47.00,47.00,34967
2017-04-27,47.20,47.35,47.00,47.25,11605
2017-04-28,47.25,47.35,47.05,47.30,13711
2017-05-02,47.45,47.75,47.35,47.55,17018
2017-05-03,47.70,47.70,47.45,47.60,9129
2017-05-04,47.70,47.70,47.45,47.70,9503
2017-05-05,47.75,47.75,47.55,47.60,10884
2017-05-08,47.70,47.80,47.45,47.65,10374
2017-05-09,47.70,47.90,47.50,47.70,11506
2017-05-10,47.80,47.85,47.50,47.50,12472
2017-05-11,47.70,47.80,47.50,47.80,9519
2017-05-12,47.70,47.75,47.60,47.60,7973
2017-05-15,47.65,47.95,47.65,47.95,14647
2017-05-16,48.00,48.45,47.95,48.30,30742
2017-05-17,48.30,48.35,47.90,48.20,15302
2017-05-18,47.75,47.75,47.50,47.60,13314
2017-05-19,47.55,47.55,47.20,47.25,12866
2017-05-22,47.50,47.55,47.10,47.45,8986
2017-05-23,47.30,47.45,47.20,47.35,8781
2017-05-24,47.40,47.50,47.35,47.35,8827
2017-05-25,47.40,47.65,47.40,47.50,8040
2017-05-26,47.40,47.45,46.95,47.10,17783
2017-05-31,47.00,47.05,45.85,45.85,40271
2017-06-01,45.90,46.25,45.85,45.95,18565
2017-06-02,46.25,46.30,45.95,46.15,16161
2017-06-03,46.30,46.50,46.20,46.45,4529
2017-06-05,46.10,46.30,45.95,46.05,25749
2017-06-06,46.00,46.00,45.80,45.90,24580
2017-06-07,45.80,45.95,45.80,45.85,27052
2017-06-08,45.70,46.10,45.70,45.85,26319
2017-06-09,45.90,46.15,45.80,45.80,21148
2017-06-12,46.05,46.50,46.00,46.00,21521
2017-06-13,46.40,46.45,46.20,46.25,15940
2017-06-14,46.20,46.35,46.00,46.25,15374
2017-06-15,46.10,46.35,46.05,46.30,7799
2017-06-16,46.30,46.35,46.20,46.35,12740
2017-06-19,46.40,46.80,46.40,46.80,15485
2017-06-20,46.90,47.45,46.80,47.45,17768
2017-06-21,47.45,47.55,47.10,47.40,17405
2017-06-22,47.25,47.40,47.20,47.25,10558
2017-06-23,47.10,47.40,47.05,47.40,10832
2017-06-26,47.50,48.40,47.50,48.40,33176
2017-06-27,48.50,48.70,48.10,48.40,27465
2017-06-28,48.30,48.50,47.85,47.85,25205
2017-06-29,48.45,48.65,48.25,48.35,25426
2017-06-30,48.25,48.50,48.15,48.45,36303
2017-07-03,47.00,47.00,46.55,46.85,32530
2017-07-04,47.00,47.60,46.95,47.00,25160
2017-07-05,47.10,47.20,46.60,47.00,14556
2017-07-06,47.00,47.00,46.60,46.90,11215
2017-07-07,46.80,46.85,46.55,46.80,17095
2017-07-10,46.65,46.80,46.45,46.45,14095
2017-07-11,46.45,46.80,46.35,46.70,20017
2017-07-12,46.70,47.20,46.70,47.10,18540
2017-07-13,47.50,47.70,47.35,47.55,17127
2017-07-14,47.60,47.60,47.20,47.25,12745
2017-07-17,47.50,47.80,47.50,47.65,14001
2017-07-18,47.65,47.65,47.45,47.65,9387
2017-07-19,47.60,47.75,47.45,47.50,16102
2017-07-20,47.65,47.65,47.45,47.50,5548
2017-07-21,47.35,47.45,47.15,47.15,6419
2017-07-24,46.90,46.95,46.60,46.90,14194
2017-07-25,46.90,47.00,46.75,46.85,6292
2017-07-26,47.00,47.05,46.85,47.00,7181
2017-07-27,47.00,47.30,46.85,47.20,11316
2017-07-28,47.15,47.20,46.75,46.75,7509
2017-07-31,46.75,46.95,46.70,46.90,9393
2017-08-01,46.90,47.00,46.50,46.80,10387
